boe,crime,crime_cat,crime_sub_cat,pardon_year
BOE-A-1996-372,delito de robo,13,2,1995
BOE-A-1996-372,delito de amenazas,6,2,1995
BOE-A-1996-373,delito de estafa,13,6,1995
BOE-A-1996-374,delito de robo,13,2,1995
BOE-A-1996-375,delito de lesiones,3,,1995
BOE-A-1996-376,delito de quebrantamiento de condena,20,8,1995
BOE-A-1996-377,delito contra la salud pública,17,3,1995
BOE-A-1996-378,delito de robo,13,2,1995
BOE-A-1996-379,delito contra la salud pública,17,3,1995
BOE-A-1996-380,delito de robo,13,2,1995
BOE-A-1996-380,falta de lesiones,25,1,1995
BOE-A-1996-381,delito de robo,13,2,1995
BOE-A-1996-382,delito contra la salud pública,17,3,1995
BOE-A-1996-383,delito contra la salud pública,17,3,1995
BOE-A-1996-384,delito de robo,13,2,1995
BOE-A-1996-385,delito de robo,13,2,1995
BOE-A-1996-386,delito de homicidio,1,,1995
BOE-A-1996-1295,delito de atentado contra los medios o recursos de la Defensa Nacional,22,2,1995
BOE-A-1996-1296,delito de insulto a un superior,90,,1995
BOE-A-1996-2151,delito de lesiones,3,,1995
BOE-A-1996-2152,delito de robo,13,2,1995
BOE-A-1996-2153,delito de lesiones,3,,1995
BOE-A-1996-2154,delito de quebrantamiento de condena,20,8,1995
BOE-A-1996-2155,delito de robo,13,2,1995
BOE-A-1996-2156,delito de robo,13,2,1995
BOE-A-1996-2157,delito de robo,13,2,1995
BOE-A-1996-2158,delito de estafa,13,6,1995
BOE-A-1996-2158,delito de sustitución de placa de matrícula,18,2,1995
BOE-A-1996-2158,"delito de falsificación de sellos, marcas o contraseñas",18,1,1995
BOE-A-1996-2159,delito de quebrantamiento de condena,20,8,1995
BOE-A-1996-2159,delito de detenciones ilegales,6,1,1995
BOE-A-1996-2159,delito de atentado,22,2,1995
BOE-A-1996-2159,delito de daños,13,9,1995
BOE-A-1996-2159,delito de robo,13,2,1995
BOE-A-1996-2160,delito de atentado,22,2,1995
BOE-A-1996-2161,delito de robo,13,2,1995
BOE-A-1996-2162,delito de robo,13,2,1995
BOE-A-1996-2162,delito de utilización ilegítima de vehículos de motor ajeno,13,4,1995
BOE-A-1996-2163,delito de agresión sexual,8,1,1995
BOE-A-1996-2164,delito contra la salud pública,17,3,1995
BOE-A-1996-2165,delito de conducción bajo influencia de bebidas alcohólicas,17,4,1995
BOE-A-1996-2165,falta de ofensas,25,4,1995
BOE-A-1996-2365,delito contra la salud pública,17,3,1995
BOE-A-1996-2366,delito de malversación,19,7,1995
BOE-A-1996-2367,delito de estafa,13,6,1995
BOE-A-1996-2367,delito de sustitución de placas de matrícula,18,2,1995
BOE-A-1996-2368,delito de robo,13,2,1995
BOE-A-1996-2369,delito de robo,13,2,1995
BOE-A-1996-2370,delito de malversación,19,7,1995
BOE-A-1996-2370,delito de falsificación de documentos privados,18,2,1995
BOE-A-1996-2371,delito contra la salud pública,17,3,1995
BOE-A-1996-2371,delito de resistencia,22,2,1995
BOE-A-1996-2372,delito de homicidio,1,,1995
BOE-A-1996-2373,delito de robo,13,2,1995
BOE-A-1996-2374,delito de quebrantamiento de condena,20,8,1995
BOE-A-1996-2375,delito contra la salud pública,17,3,1995
BOE-A-1996-2376,delito de amenazas,6,2,1995
BOE-A-1996-2376,delito de atentado,22,2,1995
BOE-A-1996-2377,delito de injurias,11,2,1995
BOE-A-1996-2378,delito de robo,13,2,1995
BOE-A-1996-2379,delito de injurias,11,2,1995
BOE-A-1996-3384,delito de malversación,19,7,1996
BOE-A-1996-3522,delito contra la salud pública,17,3,1996
BOE-A-1996-3523,delito de receptación,13,14,1996
BOE-A-1996-3524,delito de robo,13,2,1996
BOE-A-1996-3525,delito de violación,8,1,1996
BOE-A-1996-3526,delito de robo,13,2,1996
BOE-A-1996-3527,delito de robo,13,2,1996
BOE-A-1996-3528,delito de lesiones,3,,1996
BOE-A-1996-3529,delito contra la salud pública,17,3,1996
BOE-A-1996-3530,delito de robo,13,2,1996
BOE-A-1996-3531,delito de violación,8,1,1996
BOE-A-1996-3531,delito de robo,13,2,1996
BOE-A-1996-3532,delito de resistencia a agente de la autoridad,22,2,1996
BOE-A-1996-3533,delito de violación,8,1,1996
BOE-A-1996-3534,delito de quebrantamiento de condena,20,8,1996
BOE-A-1996-3535,delito de robo,13,2,1996
BOE-A-1996-3536,delito de cheque en descubierto,13,6,1996
BOE-A-1996-3536,delito de falsedad en documento oficial,18,2,1996
BOE-A-1996-3584,delito de robo,13,2,1996
BOE-A-1996-3585,delito de robo,13,2,1996
BOE-A-1996-3586,delito de lesiones,3,,1996
BOE-A-1996-3587,delito de robo,13,2,1996
BOE-A-1996-3587,delito de uso de documento de identidad verdadero expedido a nombre de otro,18,2,1996
BOE-A-1996-3588,delito de robo,13,2,1996
BOE-A-1996-3589,delito de robo,13,2,1996
BOE-A-1996-3590,delito de hurto,13,1,1996
BOE-A-1996-3590,delito de robo,13,2,1996
BOE-A-1996-3591,delito de robo,13,2,1996
BOE-A-1996-3591,delito de tenencia ilícita de armas,22,5,1996
BOE-A-1996-3592,delito de estafa,13,6,1996
BOE-A-1996-3593,delito de robo,13,2,1996
BOE-A-1996-3594,delito de robo,13,2,1996
BOE-A-1996-3595,delito de homicidio,1,,1996
BOE-A-1996-3596,delito de quebrantamiento de la condena de privación del permiso de conducir,20,8,1996
BOE-A-1996-3597,delito de robo,13,2,1996
BOE-A-1996-4290,delito de detención ilegal,6,1,1996
